District,Month,Visitors,Year
Adilabad,January,23423,2020
Adilabad,February,34564,2020
Adilabad,March,4534,2020
Adilabad,April,3242,2021
Adilabad,May,56456,2021
Adilabad,June,34,2021
Adilabad,July,54,2022
Adilabad,August,242,2022
Adilabad,September,6456,2022
Adilabad,October,234,2023
Adilabad,November,23425,2023
Adilabad,December,2343,2023
Bhadradri Kothagudem,January,7655,2020
Bhadradri Kothagudem,February,45,2020
Bhadradri Kothagudem,March,75,2020
Bhadradri Kothagudem,April,34,2021
Bhadradri Kothagudem,May,11,2021
Bhadradri Kothagudem,June,3537,2021
Bhadradri Kothagudem,July,6753,2022
Bhadradri Kothagudem,August,3564,2022
Bhadradri Kothagudem,September,234,2022
Bhadradri Kothagudem,October,2342,2023
Bhadradri Kothagudem,November,2356,2023
Bhadradri Kothagudem,December,3434,2023
Hyderabad,January,25174,2020
Hyderabad,February,16521,2020
Hyderabad,March,3724,2020
Hyderabad,April,9344,2021
Hyderabad,May,1121,2021
Hyderabad,June,3533,2021
Hyderabad,July,8916,2022
Hyderabad,August,6588,2022
Hyderabad,September,6,2022
Hyderabad,October,76,2023
Hyderabad,November,128,2023
Hyderabad,December,230,2023
Jagtial,January,34535,2020
Jagtial,February,765,2020
Jagtial,March,868,2020
Jagtial,April,335,2021
Jagtial,May,76,2021
Jagtial,June,35,2021
Jagtial,July,223,2022
Jagtial,August,64,2022
Jagtial,September,464,2022
Jagtial,October,855,2023
Jagtial,November,463,2023
Jagtial,December,234,2023
Jangaon,January,24,2020
Jangaon,February,46,2020
Jangaon,March,335,2020
Jangaon,April,68,2021
Jangaon,May,4562,2021
Jangaon,June,675,2021
Jangaon,July,3533,2022
Jangaon,August,2424,2022
Jangaon,September,34667,2022
Jangaon,October,58567,2023
Jangaon,November,6464,2023
Jangaon,December,46464,2023
Jayashankar Bhoopalpally,January,4654,2020
Jayashankar Bhoopalpally,February,45345,2020
Jayashankar Bhoopalpally,March,3547,2020
Jayashankar Bhoopalpally,April,4,2021
Jayashankar Bhoopalpally,May,5,2021
Jayashankar Bhoopalpally,June,76,2021
Jayashankar Bhoopalpally,July,345,2022
Jayashankar Bhoopalpally,August,456,2022
Jayashankar Bhoopalpally,September,345,2022
Jayashankar Bhoopalpally,October,234,2023
Jayashankar Bhoopalpally,November,76,2023
Jayashankar Bhoopalpally,December,45,2023
Jogulamba Gadwal,January,36,2020
Jogulamba Gadwal,February,6,2020
Jogulamba Gadwal,March,3,2020
Jogulamba Gadwal,April,665,2021
Jogulamba Gadwal,May,34,2021
Jogulamba Gadwal,June,12,2021
Jogulamba Gadwal,July,24,2022
Jogulamba Gadwal,August,4546,2022
Jogulamba Gadwal,September,6456,2022
Jogulamba Gadwal,October,3223,2023
Jogulamba Gadwal,November,869,2023
Jogulamba Gadwal,December,5345,2023
Kamareddy,January,3453,2020
Kamareddy,February,56756,2020
Kamareddy,March,87564,2020
Kamareddy,April,3452,2021
Kamareddy,May,3456,2021
Kamareddy,June,3543,2021
Kamareddy,July,5647,2022
Kamareddy,August,223,2022
Kamareddy,September,34,2022
Kamareddy,October,34,2023
Kamareddy,November,656,2023
Kamareddy,December,5763,2023
Karimnagar,January,334,2020
Karimnagar,February,754,2020
Karimnagar,March,345,2020
Karimnagar,April,67,2021
Karimnagar,May,6744,2021
Karimnagar,June,6575,2021
Karimnagar,July,900,2022
Karimnagar,August,78,2022
Karimnagar,September,90,2022
Karimnagar,October,79,2023
Karimnagar,November,675,2023
Karimnagar,December,4521,2023
Khammam,January,7842,2020
Khammam,February,2319,2020
